destination_country,year,season,total_season_records,season_category,peak_season_records,difference_from_peak
Canada,2020,Winter (Dec-Feb),3,Off-Season / Other,12,9
Egypt,2023,Winter (Dec-Feb),33,Off-Season / Other,42,9
Egypt,2024,Spring (Mar-May),32,Off-Season / Other,41,9
Japan,2021,Spring (Mar-May),9,Off-Season / Other,18,9
Japan,2023,Summer (Jun-Aug),26,Off-Season / Other,35,9
Malaysia,2019,Autumn (Sep-Nov),17,Off-Season / Other,26,9
Maldives,2020,Winter (Dec-Feb),5,Off-Season / Other,14,9
Morocco,2023,Spring (Mar-May),28,Off-Season / Other,37,9
New Zealand,2019,Spring (Mar-May),19,Off-Season / Other,28,9
New Zealand,2024,Autumn (Sep-Nov),24,Off-Season / Other,33,9
Spain,2022,Summer (Jun-Aug),15,Off-Season / Other,24,9
Spain,2023,Spring (Mar-May),25,Off-Season / Other,34,9
Switzerland,2019,Autumn (Sep-Nov),14,Off-Season / Other,23,9
Switzerland,2021,Winter (Dec-Feb),7,Off-Season / Other,16,9
Switzerland,2022,Winter (Dec-Feb),20,Off-Season / Other,29,9
Thailand,2023,Spring (Mar-May),34,Off-Season / Other,43,9
Turkey,2019,Summer (Jun-Aug),14,Off-Season / Other,23,9
Turkey,2019,Winter (Dec-Feb),14,Off-Season / Other,23,9
Turkey,2022,Winter (Dec-Feb),21,Off-Season / Other,30,9
UAE,2021,Spring (Mar-May),8,Off-Season / Other,17,9
UK,2023,Summer (Jun-Aug),29,Off-Season / Other,38,9
USA,2020,Spring (Mar-May),8,Off-Season / Other,17,9
Australia,2024,Winter (Dec-Feb),29,Secondary Increase (Second Season),39,10
Australia,2023,Autumn (Sep-Nov),28,Off-Season / Other,38,10
France,2022,Summer (Jun-Aug),19,Off-Season / Other,29,10
France,2023,Spring (Mar-May),29,Off-Season / Other,39,10
Italy,2023,Autumn (Sep-Nov),28,Off-Season / Other,38,10
Japan,2019,Winter (Dec-Feb),18,Off-Season / Other,28,10
Japan,2021,Winter (Dec-Feb),8,Off-Season / Other,18,10
New Zealand,2023,Summer (Jun-Aug),28,Off-Season / Other,38,10
Switzerland,2024,Autumn (Sep-Nov),27,Off-Season / Other,37,10
UK,2021,Spring (Mar-May),6,Off-Season / Other,16,10
USA,2020,Winter (Dec-Feb),7,Off-Season / Other,17,10
USA,2024,Spring (Mar-May),22,Off-Season / Other,32,10
Singapore,2023,Spring (Mar-May),30,Secondary Increase (Second Season),41,11
Canada,2022,Autumn (Sep-Nov),13,Off-Season / Other,24,11
Egypt,2019,Winter (Dec-Feb),14,Off-Season / Other,25,11
Egypt,2022,Autumn (Sep-Nov),19,Off-Season / Other,30,11
France,2023,Summer (Jun-Aug),28,Off-Season / Other,39,11
Italy,2019,Autumn (Sep-Nov),13,Off-Season / Other,24,11
Italy,2024,Spring (Mar-May),25,Off-Season / Other,36,11
Malaysia,2023,Summer (Jun-Aug),24,Off-Season / Other,35,11
New Zealand,2020,Autumn (Sep-Nov),6,Off-Season / Other,17,11
USA,2023,Autumn (Sep-Nov),27,Off-Season / Other,38,11
Canada,2019,Autumn (Sep-Nov),14,Off-Season / Other,26,12
France,2024,Autumn (Sep-Nov),30,Off-Season / Other,42,12
Indonesia,2023,Spring (Mar-May),24,Off-Season / Other,36,12
Japan,2023,Spring (Mar-May),23,Off-Season / Other,35,12
Malaysia,2024,Winter (Dec-Feb),25,Off-Season / Other,37,12
Maldives,2022,Summer (Jun-Aug),18,Off-Season / Other,30,12
Singapore,2024,Summer (Jun-Aug),23,Off-Season / Other,35,12
Spain,2019,Spring (Mar-May),13,Off-Season / Other,25,12
Thailand,2023,Autumn (Sep-Nov),31,Off-Season / Other,43,12
Turkey,2023,Spring (Mar-May),26,Off-Season / Other,38,12
UK,2022,Autumn (Sep-Nov),21,Secondary Increase (Second Season),34,13
Australia,2022,Spring (Mar-May),14,Off-Season / Other,27,13
Australia,2024,Summer (Jun-Aug),26,Off-Season / Other,39,13
Egypt,2024,Autumn (Sep-Nov),28,Off-Season / Other,41,13
Japan,2022,Summer (Jun-Aug),16,Off-Season / Other,29,13
Australia,2023,Spring (Mar-May),24,Off-Season / Other,38,14
Canada,2023,Spring (Mar-May),30,Off-Season / Other,44,14
Egypt,2023,Spring (Mar-May),28,Off-Season / Other,42,14
Indonesia,2022,Winter (Dec-Feb),20,Off-Season / Other,34,14
Japan,2019,Spring (Mar-May),14,Off-Season / Other,28,14
Malaysia,2019,Summer (Jun-Aug),12,Off-Season / Other,26,14
Malaysia,2024,Summer (Jun-Aug),23,Off-Season / Other,37,14
Singapore,2023,Summer (Jun-Aug),27,Off-Season / Other,41,14
Turkey,2022,Autumn (Sep-Nov),16,Off-Season / Other,30,14
Canada,2019,Summer (Jun-Aug),11,Off-Season / Other,26,15
UK,2022,Summer (Jun-Aug),19,Off-Season / Other,34,15
UK,2022,Winter (Dec-Feb),19,Off-Season / Other,34,15
Indonesia,2023,Autumn (Sep-Nov),20,Off-Season / Other,36,16
New Zealand,2019,Winter (Dec-Feb),12,Off-Season / Other,28,16
Singapore,2023,Winter (Dec-Feb),25,Off-Season / Other,41,16
Switzerland,2023,Winter (Dec-Feb),24,Off-Season / Other,40,16
Australia,2024,Spring (Mar-May),20,Off-Season / Other,39,19
Canada,2023,Autumn (Sep-Nov),24,Off-Season / Other,44,20
Indonesia,2022,Autumn (Sep-Nov),14,Off-Season / Other,34,20
Morocco,2024,Winter (Dec-Feb),21,Off-Season / Other,41,20
UK,2023,Autumn (Sep-Nov),18,Off-Season / Other,38,20
Morocco,2024,Summer (Jun-Aug),20,Off-Season / Other,41,21
Switzerland,2023,Spring (Mar-May),18,Off-Season / Other,40,22
